Model,Brand,Year,Price
Frontier,Nissan,2015,32560
Tribute Hybrid,Mazda,2009,30925
S-10,Chevrolet,2003,17570
S2000,Honda,2008,36300
Silhouette,Oldsmobile,2003,34290
Stratus,Dodge,2004,21450
Passport,Honda,2001,23000
XV Crosstrek,Subaru,2015,24795
F-Type R Convertible,Jaguar,2021,105900.0
Endeavor,Mitsubishi,2011,28299
C70,Volvo,2012,40450
Equus,Hyundai,2016,68750
GLS-Class,Mercedes-Benz,2017,124100
Raider,Mitsubishi,2007,24005
R-Class,Mercedes-Benz,2011,50240
G6,Pontiac,2009,28580
Escalade EXT,Cadillac,2013,69640
Explorer,Ford,2017,53235
B-Series,Mazda,2001,14990
Explorer,Ford,2016,35400
Mirage,Mitsubishi,2014,12995
GS 430,Lexus,2006,51375
Freestyle,Ford,2007,27770
Intrepid,Dodge,2002,20810
ActiveHybrid 7,BMW,2013,84300
FF,Ferrari,2014,295000
GT-R,Nissan,2015,111510
e-Golf,Volkswagen,2015,33450
XC60,Volvo,2015,51050
LaCrosse,Buick,2016,34065
CT 200h,Lexus,2016,31250
Continental GTC Speed,Bentley,2010,231400
Neon,Plymouth,2001,12715
Impreza,Subaru,2015,21495
 Fit         , Honda    ,2023,"17,600"
Venture,Chevrolet,2003,30240
CX-3,Mazda,2017,24990
IS 350 C,Lexus,2013,46890
GS 350,Lexus,2016,50000
5,Mazda,2015,24770
F430,Ferrari,2007,201213
LS 460,Lexus,2017,82305
 Bolt EUV    , Chevrolet,2023,900
LR4,Land Rover,2015,60600
Aerio,Suzuki,2006,15499
Malibu,Chevrolet,2016,21625
Verona,Suzuki,2004,18499
Malibu Maxx,Chevrolet,2005,24610
Benz AMG GLC 43,Mercedes,2022,110195.0
Huracan Performante,Lamborghini,2020,261270.0
Stratus,Dodge,2005,23335
CX-5,Mazda,2015,27970
Huracan,Lamborghini,2015,237250
Tracker,Chevrolet,2003,16630
Forenza,Suzuki,2008,17689
XL-7,Suzuki,2004,20099
Sedona,Kia,2015,36300
5,Mazda,2014,20140
Kwid RXT,Renault,2019,5510.0
Pacifica Hybrid Limited,Chrysler,2021,45370.0
Envision Essence,Buick,2021,35800.0
Sebring,Chrysler,2009,30270
FX45,Infiniti,2008,50100
Q45,Infiniti,2004,61600
RX 330,Lexus,2006,36370
500e,FIAT,2017,31800
Forenza,Suzuki,2007,15099
Forenza,Suzuki,2006,13799
Escape,Ford,2016,27540
Rapide S,Aston Martin,2016,206000
Voyager L,Chrysler,2020,26990.0
Continental GTC,Bentley,2014,195200
Z3,BMW,2001,37900
Genesis,Hyundai,2016,41250
Hector Sharp Hybrid,MG,2019,27300.0
Celica,Toyota,2004,24810
GT-R,Nissan,2016,111510
Ram Cargo,Dodge,2003,20080
Equus,Hyundai,2015,61500
Spark EV,Chevrolet,2015,25170
TrailBlazer,Chevrolet,2009,37195
Continental,Bentley,2001,299900
4 Series,BMW,2015,56900
9-7X,Saab,2007,39190
Camry Solara,Toyota,2007,27190
Viper,Dodge,2017,95895
Dakota,Dodge,2008,25395
Focus,Ford,2016,18515
Raider,Mitsubishi,2008,20490
Armada,Nissan,2017,49650
F-Type P450 Convertible,Jaguar,2022,73000.0
G37 Sedan,Infiniti,2010,43350
Rabbit,Volkswagen,2009,16300
Aveo,Chevrolet,2011,15365
Escalade EXT,Cadillac,2012,69640
Hector Sharp Diesel,MG,2019,29200.0
Continental GTC,Bentley,2012,212800
Matrix,Toyota,2011,19685
Sonic,Chevrolet,2015,15495
Silverado 1500 Classic,Chevrolet,2007,23350
Golf GTI,Volkswagen,2016,30620
Hector Style Diesel,MG,2019,22900.0
Encore GX Select,Buick,2021,25800.0
Stelvio Ti,Alfa Romeo,2020,45740.0
IS 250,Lexus,2015,36550
124 Spider Lusso Red Top Edition Convertible,Fiat,2019,25100.0
E-Series Van,Ford,2013,27325
Jimmy,GMC,2000,2916
Aerio,Suzuki,2005,17849
Continental GT V8 Coupe,Bentley,2020,201220.0
Integra,Acura,2001,21850
S7,Audi,2016,82900
XL7,Suzuki,2007,26999
Envoy XL,GMC,2004,38120
Tucson,Hyundai,2016,24150
Elantra,Hyundai,2016,21250
Levante,Maserati,2017,83000
Raider,Mitsubishi,2008,23590
X6,BMW,2017,61400
QX80 Luxe,Infiniti,2022,84850.0
Navigator,Lincoln,2016,63195
Sedona,Kia,2016,28500
Sportage,Kia,2017,27000
Esteem,Suzuki,2001,16499
Cruze Limited,Chevrolet,2016,20195
RDX,Acura,2016,36670
Panamera,Porsche,2015,200500
Murano CrossCabriolet,Nissan,2012,44540
Silhouette,Oldsmobile,2002,31355
LeSabre,Buick,2005,32385
Corvette,Chevrolet,2015,68160
Navigator L Black Label 4x4,Lincoln,2021,101320.0
GS 350,Lexus,2017,50695
F-150 Heritage,Ford,2004,20490
City Express,Chevrolet,2017,22405
RAV4,Toyota,2016,29265
500L Trekking Hatch,Fiat,2020,23500.0
Envision Avenir AWD,Buick,2021,42000.0
Sierra 1500 Classic,GMC,2007,31965
S7,Audi,2015,82500
iQ,Scion,2013,15495
Truck,Mazda,2002,12840
Forenza,Suzuki,2007,14899
Tracker,Chevrolet,2002,16100
FX50,Infiniti,2009,58400
6,Mazda,2016,22995
GLE-Class,Mercedes-Benz,2016,64600
5 Series,BMW,2015,67200
Golf,Volkswagen,2015,26995
Phantom Coupe,Rolls-Royce,2015,438325
XLR-V,Cadillac,2009,104215
Mazdaspeed 3,Mazda,2011,23700
G37 Coupe,Infiniti,2010,37500
Captiva Sport,Chevrolet,2015,25985
Cube,Nissan,2014,19000
Z3,BMW,2002,37700
Rondo,Kia,2009,17495
HHR,Chevrolet,2009,24815
Sonata Hybrid,Hyundai,2016,26000
370Z,Nissan,2015,46790
GT Coupe,Mclaren,2020,210000.0
Elantra,Hyundai,2017,18150
Exige,Lotus,2010,65690
Silverado 1500 Hybrid,Chevrolet,2011,48205
MDX,Acura,2016,43015
Boxster,Porsche,2016,74600
Town Car,Lincoln,2010,52595
Forte,Kia,2015,19590
Blazer,Chevrolet,2004,25230
CX-5,Mazda,2014,22795
Enclave Essence AWD,Buick,2021,44000.0
Armada,Nissan,2015,50780
500e,FIAT,2015,31800
Rendezvous,Buick,2005,26780
B-Series,Mazda,2001,18485
IS 300,Lexus,2005,29735
Nitro,Dodge,2011,28995
Supersports Convertible ISR,Bentley,2013,291900
B-Series Pickup,Mazda,2000,3579
RSX,Acura,2006,21225
Boxster,Porsche,2015,73500
Lancer Evolution,Mitsubishi,2015,37995
TrailBlazer EXT,Chevrolet,2005,32515
Rogue,Nissan,2017,23820
G6,Pontiac,2009,19275
Camry,Toyota,2016,26310
Yukon Hybrid,GMC,2012,55280
Durango,Dodge,2016,41995
Coupe,Maserati,2006,79900
CX-3,Mazda,2016,19960
 Tucson      , Hyundai  ,2023,"27,500"
New Beetle,Volkswagen,2008,23240
Taurus X,Ford,2008,28880
5 Series Gran Turismo,BMW,2017,63200
Durango SRT 392,Dodge,2022,66270.0
C30,Volvo,2011,24700
Integra,Acura,2001,24450
XTS,Cadillac,2017,45295
Bentayga V8,Bentley,2020,165000.0
Truck,Mazda,2003,20880
RC 350,Lexus,2015,42790
 Ranger      , Ford     ,2023,"28,570"
Dakota,Dodge,2009,30155
Pacifica,Chrysler,2008,36195
Torrent,Pontiac,2009,29420
QX4,Infiniti,2002,35550
S-10,Chevrolet,2003,16120
Tiburon,Hyundai,2008,18370
Passport,Honda,2001,26150
Impala,Chevrolet,2015,34465
TrailBlazer,Chevrolet,2009,31330
Grand Am,Pontiac,2003,18890
Rogue Select,Nissan,2015,21500
Celica,Toyota,2005,17670
MP4-12C,McLaren,2012,229000
Dakota,Dodge,2008,23640
ATS,Cadillac,2017,46995
F-Type First Edition,Jaguar,2021,73100.0
Escalade ESV,Cadillac,2017,83995
Elise,Lotus,2011,51845
Yukon,GMC,2015,50740
TrailBlazer,Chevrolet,2008,37725
124 Spider Lusso Convertible,Fiat,2020,28100.0
G Coupe,Infiniti,2011,38600
Silverado 1500 Classic,Chevrolet,2007,33395
Aerio,Suzuki,2005,16849
Tracker,Chevrolet,2003,21430
R8,Audi,2015,199600
Giulia Ti Sport AWD,Alfa Romeo,2021,44700.0
 Venue       , Hyundai  ,2023,"20,400"
Centenario Roadster,Lamborghini,2020,2000000.0
Spyder,Maserati,2004,89622
Sentra,Nissan,2015,20720
Escalade ESV,Cadillac,2016,80045
B-Series,Mazda,2001,18360
Explorer Sport Trac,Ford,2010,33065
Forenza,Suzuki,2006,15799
 Fit         , Honda    ,2023,"17,600"
allroad quattro,Audi,2004,46950
500X Sport,Fiat,2020,26890.0
Huracan Evo AWD,Lamborghini,2021,261270.0
Fit EV,Honda,2013,36625
Crossfire,Chrysler,2006,38545
LS,Lincoln,2005,43590
Sequoia,Toyota,2017,48685
Savana Cargo,GMC,2014,29215
Mulsanne,Bentley,2020,310800.0
G35,Infiniti,2008,32250
Crown Victoria,Ford,2009,29205
570S Coupe,Mclaren,2021,191100.0
C-Max Hybrid,Ford,2017,24120
Tiburon,Hyundai,2008,21270
 Sierra      , GMC      ,2023,"51,250"
Windstar,Ford,2001,22185
612 Scaglietti,Ferrari,2011,313088
Golf SportWagen,Volkswagen,2015,31445
Model X Long Range,Tesla,2020,84990.0
Golf R,Volkswagen,2017,36755
M6 Gran Coupe,BMW,2016,117200
3,MG,2021,12780.0
M,Infiniti,2012,49850
M45,Infiniti,2008,52750
Prius c,Toyota,2016,20360
CX-7,Mazda,2010,25950
Forenza,Suzuki,2007,15999
Ciaz Delta AT,Suzuki,2022,13620.0
Continental GT W12 First Edition,Bentley,2020,266660.0
Uplander,Chevrolet,2006,33250
Firebird,Pontiac,2000,8548
Grand Prix,Pontiac,2007,24735
Q50,Infiniti,2015,38950
GT-R,Nissan,2017,109990
RS 5,Audi,2014,69600
DBS,Aston Martin,2011,282295
Lumina,Chevrolet,2001,18890
Evora,Lotus,2013,66800
Prius,Toyota,2017,28115
Avenger,Dodge,2013,25695
S4,Audi,2016,56100
Avalon,Toyota,2016,37050
G80,Genesis,2017,41400
V12 Vanquish,Aston Martin,2005,255000
Touareg 2,Volkswagen,2008,39300
458 Italia,Ferrari,2015,239340
Yukon XL,GMC,2017,54230
Ghost Series II,Rolls-Royce,2016,295850
Range Rover P525 Autobiography,Land Rover,2022,147400.0
 Odyssey     , Honda    ,2023,"36,500"
 CX-5        , Mazda    ,2023,"30,545"
Baja,Subaru,2005,23145
New Beetle,Volkswagen,2008,20990
Avalon Hybrid,Toyota,2017,42550
Sonata,Hyundai,2016,28925
Rabbit,Volkswagen,2007,16065
Mark LT,Lincoln,2008,38915
500 la Prima,Fiat,2021,69000.0
Esteem,Suzuki,2001,14699
Celica,Toyota,2004,22235
CR-V,Honda,2016,27295
TTS,Audi,2015,51700
Continental Flying Spur,Bentley,2011,181200
Silverado 1500 Classic,Chevrolet,2007,30570
Q70,Infiniti,2016,67050
Sephia,Kia,2001,11820
ES 350,Lexus,2017,38900
Aviator,Lincoln,2005,43585
G37,Infiniti,2009,37000
V50,Volvo,2010,33050
EX35,Infiniti,2008,33300
3 Series,BMW,2017,38750
NV200,Nissan,2016,21760
Venture,Chevrolet,2005,23365
Firebird,Pontiac,2000,5844
GL-Class,Mercedes-Benz,2014,63000
F-150 XL,Ford,2022,45760.0
Camry Solara,Toyota,2008,27155
CTS-V,Cadillac,2014,63600
Cabrio,Volkswagen,2002,19600
Q60 Convertible,Infiniti,2015,62100
Montana,Pontiac,2003,30540
Tiburon,Hyundai,2007,16695
SX4,Suzuki,2013,19349
Beetle,Volkswagen,2015,25895
 Fit         , Honda    ,2023,"17,600"
Magnite XV Executive,Nissan,2022,9300.0
DB9,Aston Martin,2014,200800
Tundra,Toyota,2017,33450
Range Rover,Land Rover,2016,86450
Tiguan,Volkswagen,2016,24890
Sebring,Chrysler,2010,32710
Escort,Ford,2002,15015
A5,Audi,2016,43800
C30,Volvo,2013,25500
Yaris,Toyota,2017,16000
7 Series,BMW,2016,94400
Celica,Toyota,2004,17570
Discovery Sport,Land Rover,2015,37070
RSX,Acura,2004,21100
Concorde,Chrysler,2003,23180
Duster RXE,Renault,2019,11600.0
City Express,Chevrolet,2016,23515
New Beetle,Volkswagen,2008,18550
Phantom,Rolls-Royce,2014,402940
Stratus,Dodge,2006,23755
GL-Class,Mercedes-Benz,2015,119450
Camry,Toyota,2017,23070
Yaris,Toyota,2015,16820
Crosstrek Premium CVT,Subaru,2022,24940.0
CT6,Cadillac,2016,58395
Camry Solara,Toyota,2008,30710
Bentayga V8 Design Series,Bentley,2020,203200.0
Integra,Acura,2000,3652
Elise,Lotus,2009,43995
Magnum,Dodge,2006,32855
720S,Mclaren,2022,299000.0
Truck,Mazda,2002,20575
Vantage Coupe,Aston Martin,2020,152990.0
Outlander,Mitsubishi,2016,30995
Titan,Nissan,2014,39780
GS 460,Lexus,2011,55370
Pacifica,Chrysler,2007,33775
tC,Scion,2015,19210
V12 Vantage,Aston Martin,2012,180535
Envision Preferred AWD,Buick,2021,33600.0
Avalon Hybrid,Toyota,2015,37800
DB11 AMR RWD,Aston Martin,2022,245900.0
2 Series,BMW,2017,46450
Camry Solara,Toyota,2008,20180
Fusion,Ford,2016,31270
GLK-Class,Mercedes-Benz,2013,37090
Tacoma,Toyota,2015,27355
Enclave,Buick,2017,39065
Silverado 1500,Chevrolet,2016,35825
Aventador,Lamborghini,2015,441600
Continental GT,Bentley,2016,231800
RC F,Lexus,2016,62805
500,FIAT,2016,26695
Hector Smart Diesel,MG,2019,26800.0
Discovery Series II,Land Rover,2002,33350
Tahoe Hybrid,Chevrolet,2012,54775
xA,Scion,2005,12530
X5,BMW,2015,57700
Sonic,Chevrolet,2017,18170
Azure,Bentley,2007,329990
V50,Volvo,2011,32850
FF,Ferrari,2015,295000
GLK-Class,Mercedes-Benz,2015,37900
Camry Solara,Toyota,2008,22510
Sierra 1500 Classic,GMC,2007,32025
Elantra Coupe,Hyundai,2014,19600
Discovery Sport,Land Rover,2017,46595
GTO,Pontiac,2004,31795
Juke,Nissan,2015,25240
Sierra 1500,GMC,2016,54240
 Civic       , Honda    ,2023,"22,950"
Huracan,Lamborghini,2016,238500
2,Mazda,2013,17050
A7,Audi,2015,65900
Impala Limited,Chevrolet,2016,26840
S Cross Zeta AT,Suzuki,2022,14500.0
XLR-V,Cadillac,2008,100660
Cavalier,Chevrolet,2005,14610
I35,Infiniti,2004,30600
Savana,GMC,2015,36355
Five Hundred,Ford,2006,24230
6 Series,BMW,2015,94900
GS 200t,Lexus,2017,46310
Aventador,Lamborghini,2014,441600
Mustang,Ford,2015,41800
IS 300,Lexus,2017,40200
I30,Infiniti,2000,2648
Yukon XL,GMC,2016,51015
H3,HUMMER,2008,39290
Envoy XL,GMC,2005,40235
CTS,Cadillac,2015,54970
Acadia Limited,GMC,2017,43850
F-150,Ford,2017,31710
Black Diamond Avalanche,Chevrolet,2013,39030
Jetta Hybrid,Volkswagen,2014,31895
LS 600h L,Lexus,2016,120440
Spectra,Kia,2008,15895
Pilot,Honda,2016,39455
 Mazda6      , Mazda    ,2023,"24,325"
Discovery,Land Rover,2003,34350
Encore,Buick,2016,31285
Triber Limited Edition,Renault,2022,9010.0
Charger GT,Dodge,2022,35270.0
FX35,Infiniti,2010,42850
 NX          , Lexus    ,2023,"37,510"
V60,Volvo,2015,45400
9-2X,Saab,2006,22990
Crosstrek,Subaru,2017,22495
XC70,Volvo,2015,42050
A3,Audi,2017,43150
Range Rover Evoque P250 R-Dynamic SE,Land Rover,2022,76400.0
Model S,Tesla,2022,104990.0
Avenger,Dodge,2012,25995
GS 450h,Lexus,2016,63080
Jetta,Volkswagen,2015,22325
CT 200h,Lexus,2017,31250
MDX,Acura,2017,56400
Silhouette,Oldsmobile,2004,36795
6 Series Gran Coupe,BMW,2015,92600
Prizm,Chevrolet,2002,14330
GS 300,Lexus,2006,45100
Q7,Audi,2017,58800
Continental Supersports Convertible,Bentley,2012,280400
488 GTB,Ferrari,2018,301000.0
GLC-Class,Mercedes-Benz,2017,39150
Continental Supersports,Bentley,2011,267000
812 Superfast,Ferrari,2022,610000.0
Aviator,Lincoln,2003,39485
Ram Pickup 1500,Dodge,2008,25720
Stratus,Dodge,2005,20135
Vitara,Suzuki,2003,15599
Crossfire,Chrysler,2006,49470
Escalade Hybrid,Cadillac,2012,76400
Beetle Convertible,Volkswagen,2016,29790
Ram Cargo,Dodge,2003,20035
S60,Volvo,2017,33950
LR3,Land Rover,2008,54025
M35,Infiniti,2010,45800
Touareg,Volkswagen,2015,62200
Model 3 Standard Range Plus,Tesla,2020,36490.0
R-Class,Mercedes-Benz,2010,49300
Dakota,Dodge,2009,26405
Regal,Buick,2017,31615
Giulia Ti AWD,Alfa Romeo,2021,44700.0
Esteem,Suzuki,2000,2000
7 Series,BMW,2015,141200
Eldorado,Cadillac,2001,40436
B-Series Pickup,Mazda,2000,2961
 Explorer    , Ford     ,2023,"37,775"
911,Porsche,2015,96200
Cadenza,Kia,2017,38990
M,BMW,2001,45990
Windstar,Ford,2002,22340
Q70,Infiniti,2014,51750
Astro,Chevrolet,2003,25690
Rabbit,Volkswagen,2008,15600
Range Rover Sport,Land Rover,2016,93075
Crosstrek,Subaru,2016,26395
Safari Cargo,GMC,2004,22695
Malibu Classic,Chevrolet,2008,17935
S-10,Chevrolet,2002,25990
xD,Scion,2012,15345
Juke,Nissan,2016,24830
Kwid RXE,Renault,2019,5100.0
ALPINA B7,BMW,2015,132200
Optima,Kia,2016,29940
STS,Cadillac,2011,47280
Aventador SVJ Roadster,Lamborghini,2020,573960.0
F-150 Heritage,Ford,2004,25460
V70,Volvo,2010,33550
Camry Solara,Toyota,2008,27440
Pacifica Hybrid Touring,Chrysler,2021,39990.0
ATS,Cadillac,2016,41340
Escape Hybrid,Ford,2010,34120
720S Performance,Mclaren,2021,361240.0
Taurus X,Ford,2008,30750
2 Series,BMW,2016,32850
CTS-V Coupe,Cadillac,2014,63600
911,Porsche,2017,159200
Q3,Audi,2016,38600
Navigator Standard 4x2,Lincoln,2021,76180.0
Freelander,Land Rover,2005,26830
 Explorer    , Ford     ,2023,"37,775"
Challenger SRT Hellcat Widebody,Dodge,2021,58980.0
GLA-Class,Mercedes-Benz,2015,31300
Triber RXZ,Renault,2019,9000.0
Sienna,Toyota,2016,34180
X5 M,BMW,2015,98700
Range Rover,Land Rover,2014,142100
Fit,Honda,2015,15650
360,Ferrari,2004,157767
M5,BMW,2015,93600
Urus,Lamborghini,2020,203990.0
 Camry       , Toyota   ,2023,"26,170"
Celica,Toyota,2003,18140
Crosstour,Honda,2014,33690
 Camry       , Toyota   ,2023,"26,170"
Tiguan,Volkswagen,2017,30095
 RDX         , Acura    ,2023,"39,000"
Stelvio Ti Lusso,Alfa Romeo,2020,45740.0
Tribute,Mazda,2011,25700
Phantom Drophead Coupe,Rolls-Royce,2016,492000
Windstar,Ford,2003,29230
Sonoma,GMC,2003,18270
G20,Infiniti,2001,24895
Silverado 1500 Classic,Chevrolet,2007,24515
Journey,Dodge,2017,20995
C-Max Hybrid,Ford,2016,24170
Mazdaspeed Protege,Mazda,2003,19980
Challenger,Dodge,2017,35890
Land Cruiser,Toyota,2017,84325
MKT,Lincoln,2015,45205
570S Spider,Mclaren,2021,211300.0
Sebring,Chrysler,2009,35125
Pacifica,Chrysler,2008,30310
California,Ferrari,2013,198190
Tahoe Limited/Z71,Chevrolet,2000,3413
Baja,Subaru,2004,22795
Rogue Select,Nissan,2014,20150
Frontier,Nissan,2016,26750
4C,Alfa Romeo,2016,55900
TSX Sport Wagon,Acura,2014,35635
Aventador SVJ,Lamborghini,2020,515000.0
S-Class,Mercedes-Benz,2016,234050
V60 Cross Country,Volvo,2017,41700
Baja,Subaru,2005,27245
Jimmy,GMC,2001,25170
XL-7,Suzuki,2006,25499
Silhouette,Oldsmobile,2003,28040
Element,Honda,2009,21475
M,Infiniti,2013,61200
E-Series Van,Ford,2012,31460
RAV4 EV,Toyota,2013,49800
Tribute,Mazda,2009,22935
Celica,Toyota,2005,18470
Montero Sport,Mitsubishi,2002,27777
Town and Country,Chrysler,2016,35845
B-Series Truck,Mazda,2007,22045
S3,Audi,2015,41100
ATS,Cadillac,2015,41340
ALPINA B7,BMW,2014,135200
Montero Sport,Mitsubishi,2002,25087
iQ,Scion,2014,17850
IS F,Lexus,2014,63600
Elantra,Hyundai,2015,22600
Spectra,Kia,2007,12895
Sportage,Kia,2016,23650
Giulia Ti Sport Carbon,Alfa Romeo,2020,41340.0
Ridgeline,Honda,2017,37730
Explorer Sport,Ford,2003,21870
Jetta SportWagen,Volkswagen,2014,20995
B-Series Truck,Mazda,2009,16060
 Venue       , Hyundai  ,2023,"20,400"
M35,Infiniti,2008,43900
Spectra,Kia,2008,12895
Neon,Dodge,2004,17640
F-150 Heritage,Ford,2004,22315
Stratus,Dodge,2004,19690
Tracker,Chevrolet,2004,19865
4 Series Gran Coupe,BMW,2017,48300
TL,Acura,2012,42985
Outlander,Mitsubishi,2015,26195
G6,Pontiac,2009,20490
Uplander,Chevrolet,2008,29330
V8 Vantage,Aston Martin,2014,145200
Aurora,Oldsmobile,2001,30619
Tucson,Hyundai,2015,26450
SC 400,Lexus,2000,4404
Voyager L,Chrysler,2022,28930.0
Cube,Nissan,2012,14980
500 Abarth Cabrio,Fiat,2018,32240.0
Town and Country,Chrysler,2015,29995
Aerio,Suzuki,2005,15949
DB9 GT,Aston Martin,2016,235307
Pathfinder,Nissan,2015,29510
Nitro,Dodge,2009,23900
G Coupe,Infiniti,2012,51700
9-5,Saab,2009,43270
 Corvette    , Chevrolet,2023,"75,590"
Sebring,Chrysler,2008,29275
Uplander,Chevrolet,2008,23080
Colorado,Chevrolet,2012,28340
Blackwood,Lincoln,2002,51785
XC,Volvo,2002,36500
360,Ferrari,2004,187124
SLR McLaren,Mercedes-Benz,2008,495000
Flex,Ford,2015,32100
Artura,Mclaren,2021,225000.0
Golf R,Volkswagen,2015,39090
Venture,Chevrolet,2003,29740
Lucerne,Buick,2009,34670
Tahoe,Chevrolet,2017,50215
Routan,Volkswagen,2012,34490
G37,Infiniti,2009,43900
6,Mazda,2017,30695
xB,Scion,2014,16970
Equator,Suzuki,2011,25979
Cruze,Chevrolet,2015,16170
Enyaq Coupe iV 60,Skoda,2022,68090.0
Highlander Hybrid,Toyota,2016,50485
Firebird,Pontiac,2002,28025
500L,FIAT,2017,23695
CC,Volkswagen,2016,32670
350Z,Nissan,2007,30600
G Sedan,Infiniti,2012,41500
XG350,Hyundai,2004,23999
Impala Limited,Chevrolet,2014,26840
Camry Hybrid,Toyota,2017,26790
Acadia,GMC,2015,33975
Silverado 1500 Classic,Chevrolet,2007,19620
Mark LT,Lincoln,2007,41525
M3,BMW,2017,64000
Z4,BMW,2016,57500
ActiveHybrid X6,BMW,2010,88900
Sierra 1500 Limited SLE,GMC,2022,42400.0
Model 3 Standard Range Plus,Tesla,2021,37990.0
TrailBlazer EXT,Chevrolet,2006,25880
Mazdaspeed Protege,Mazda,2003,20480
M6,BMW,2016,119700
Mazdaspeed 3,Mazda,2012,24000
FX,Infiniti,2011,44050
 Ascent      , Subaru   ,2023,"33,420"
Escape,Ford,2015,29735
CX-7,Mazda,2012,26455
XG350,Hyundai,2004,25599
T Scat Pack,Dodge,2022,42000.0
Cavalier,Chevrolet,2003,16830
G37,Infiniti,2009,36650
Murcielago,Lamborghini,2008,345400
G Sedan,Infiniti,2011,41550
Passport,Honda,2000,2452
Envoy,GMC,2008,30115
Evora,Lotus,2011,64000
SF90 Spider,Ferrari,2021,558000.0
Continental GT V8 Convertible,Bentley,2020,222700.0
E55 AMG,Mercedes-Benz,2000,6120
Tiguan,Volkswagen,2015,30225
Prius v,Toyota,2017,26675
C30,Volvo,2012,27450
Escort,Ford,2002,13860
Passat,Volkswagen,2016,26280
Crossfire,Chrysler,2006,45170
Dart,Dodge,2014,16495
Elantra GT,Hyundai,2015,19800
Continental GT3-R,Bentley,2015,337000
 CR-V        , Honda    ,2023,"31,450"
Taurus,Ford,2016,29540
TT,Audi,2017,47000
NSX,Acura,2017,156000
Seville,Cadillac,2003,51650
F12 Berlinetta,Ferrari,2013,315888
GranSport,Maserati,2006,99900
TrailBlazer EXT,Chevrolet,2004,34220
Camaro,Chevrolet,2016,48300
Continental Flying Spur,Bentley,2013,184200
Savana,GMC,2014,30970
F-Pace SVR,Jaguar,2021,84600.0
C70,Volvo,2013,41200
Five Hundred,Ford,2006,24080
Forenza,Suzuki,2007,13999
LS,Lincoln,2006,39285
Malibu Maxx,Chevrolet,2005,20965
Torrent,Pontiac,2008,28120
Corvette,Chevrolet,2017,87015
Pacifica,Chrysler,2007,30250
Esteem,Suzuki,2002,13799
iM,Scion,2016,18460
F-Type First Edition Convertible,Jaguar,2021,75400.0
Five Hundred,Ford,2007,24885
Eclipse Spyder,Mitsubishi,2012,28299
Avenger,Dodge,2014,20595
Sonoma,GMC,2002,20793
FR-S,Scion,2014,24700
 Camaro      , Chevrolet,2023,"25,000"
Ghost Series II,Rolls-Royce,2015,286750
Sonoma,GMC,2002,15957
500L Trekking Hatch,Fiat,2019,22300.0
Huracan Evo Spyder RWD,Lamborghini,2020,287400.0
MX-5 Miata,Mazda,2016,28600
Montero Sport,Mitsubishi,2003,22907
RX 300,Lexus,2003,36925
 RX          , Lexus    ,2023,"46,800"
360,Ferrari,2004,169900
350Z,Nissan,2008,36280
A3,Audi,2015,35150
Dakota,Dodge,2008,30155
DB11 AMR,Aston Martin,2020,241000.0
Silhouette,Oldsmobile,2004,32125
62,Maybach,2011,423500
F-Type R-Dynamic Convertible,Jaguar,2021,84900.0
350Z,Nissan,2008,33840
Vantage AMR 59 Edition,Aston Martin,2020,204990.0
Neon,Dodge,2003,19450
626,Mazda,2000,2080
ILX,Acura,2016,34890
LX 570,Lexus,2017,89380
Jetta SportWagen,Volkswagen,2013,21695
Charger,Dodge,2016,27995
Legacy,Subaru,2017,31640
CLK-Class,Mercedes-Benz,2008,54500
Huracan,Lamborghini,2020,287100.0
Lancer Evolution,Mitsubishi,2014,38195
Flying Spur,Bentley,2014,200500
Outback,Subaru,2017,35995
G Convertible,Infiniti,2013,61450
FJ Cruiser,Toyota,2013,27030
500L,FIAT,2016,21880
350Z,Nissan,2008,37740
Yukon,GMC,2017,68965
Safari Cargo,GMC,2005,22930
Lancer,Mitsubishi,2015,17395
Ram Wagon,Dodge,2000,2326
500 Abarth,Fiat,2018,28240.0
Venture,Chevrolet,2005,30760
DTS,Cadillac,2009,49730
Mazdaspeed 3,Mazda,2013,24200
G20,Infiniti,2000,2449
S-Cross Hybrid,Suzuki,2022,32740.0
Rabbit,Volkswagen,2008,17575
Jimmy,GMC,2001,28770
9-3,Saab,2011,28900
 GV80        , Genesis  ,2023,"47,700"
Ghibli GranLusso,Maserati,2022,82700.0
Esteem,Suzuki,2002,16599
Park Avenue,Buick,2005,40730
812 Superfast,Ferrari,2021,338000.0
NX 200t,Lexus,2016,34965
Uplander,Chevrolet,2006,22750
Magnum,Dodge,2006,22680
S3,Audi,2017,48400
A4,Audi,2015,45000
 Telluride   , Kia      ,2023,"38,500"
Cavalier,Chevrolet,2004,16105
GranTurismo,Maserati,2014,143400
Camaro,Chevrolet,2017,42905
GX 460,Lexus,2015,49485
9-7X,Saab,2008,46530
 4Runner     , Toyota   ,2023,"36,585"
X3,BMW,2016,38950
G6,Pontiac,2008,18765
CTS-V Coupe,Cadillac,2015,69900
Traverse,Chevrolet,2016,44145
Lucerne,Buick,2011,29730
Titan,Nissan,2017,37670
Blazer,Chevrolet,2003,23745
Huracan Evo RWD Spyder,Lamborghini,2021,242580.0
Bravada,Oldsmobile,2002,32660
599,Ferrari,2010,310543
Murcielago,Lamborghini,2008,336400
